# 0:bincenter 1:Deltasigma_num 2:Sumwls 3:Sumwlsms 4:DeltaSigma 5:Sumwls_by_sumwl 6:rmin/2+rmax/2 7:DeltaSigma_cross 8:Sum_srcwt_per_lens 9:TotalSum_srcwt 10:SN_ErrDeltaSigma 11:SN_ErrDeltaSigma_cross 12:Jackknife_region 
-5.989700e-01 1.183107e+01 4.542003e-01 2.956466e-01 4.001760e+01 2.560750e-05 2.584893e-01 5.205335e+00 5.499408e+00 9.754300e+04 2.348985e+00 2.353054e+00 5
-3.989700e-01 2.168699e+01 1.108931e+00 7.278089e-01 2.979764e+01 6.252076e-05 4.096780e-01 4.411481e-01 1.345707e+01 2.386880e+05 1.480553e+00 1.468423e+00 5
-1.989700e-01 3.077713e+01 2.765044e+00 1.809761e+00 1.700618e+01 1.558913e-04 6.492958e-01 -7.609329e-01 3.353899e+01 5.948810e+05 9.333686e-01 9.334282e-01 5
1.029996e-03 4.960240e+01 6.889263e+00 4.495875e+00 1.103287e+01 3.884120e-04 1.029065e+00 5.291250e-01 8.365152e+01 1.483727e+06 5.895535e-01 5.907560e-01 5
2.010300e-01 7.672294e+01 1.719593e+01 1.122196e+01 6.836857e+00 9.694948e-04 1.630957e+00 -2.734012e-01 2.087880e+02 3.703273e+06 3.731048e-01 3.734032e-01 5
4.010300e-01 1.022567e+02 4.306869e+01 2.813297e+01 3.634763e+00 2.428183e-03 2.584893e+00 3.441760e-01 5.229201e+02 9.275033e+06 2.355187e-01 2.357622e-01 5
6.010300e-01 1.349300e+02 1.080261e+02 7.056815e+01 1.912052e+00 6.090437e-03 4.096780e+00 9.585595e-02 1.310992e+03 2.325307e+07 1.487289e-01 1.487335e-01 5
8.010300e-01 2.170631e+02 2.703572e+02 1.766231e+02 1.228962e+00 1.524256e-02 6.492958e+00 1.395386e-02 3.280396e+03 5.818438e+07 9.397316e-02 9.400413e-02 5
1.001030e+00 3.129334e+02 6.752239e+02 4.410469e+02 7.095242e-01 3.806866e-02 1.029065e+01 1.935002e-02 8.187705e+03 1.452253e+08 5.949267e-02 5.948814e-02 5
1.201030e+00 5.546079e+02 1.681025e+03 1.097840e+03 5.051808e-01 9.477506e-02 1.630957e+01 -1.121421e-02 2.036286e+04 3.611761e+08 3.769524e-02 3.770113e-02 5
-5.989700e-01 1.191808e+01 4.543287e-01 2.960716e-01 4.025407e+01 2.563353e-05 2.584893e-01 4.875755e+00 5.506940e+00 9.760500e+04 2.346158e+00 2.350707e+00 6
-3.989700e-01 2.155505e+01 1.109030e+00 7.281438e-01 2.960273e+01 6.257224e-05 4.096780e-01 5.226489e-01 1.347134e+01 2.387660e+05 1.480603e+00 1.467602e+00 6
-1.989700e-01 3.069570e+01 2.765179e+00 1.809607e+00 1.696264e+01 1.560133e-04 6.492958e-01 -5.727941e-01 3.357459e+01 5.950760e+05 9.335479e-01 9.337601e-01 6
1.029996e-03 4.941057e+01 6.891986e+00 4.497351e+00 1.098659e+01 3.888505e-04 1.029065e+00 5.729684e-01 8.375688e+01 1.484507e+06 5.895482e-01 5.907124e-01 6
2.010300e-01 7.637030e+01 1.719496e+01 1.122084e+01 6.806114e+00 9.701514e-04 1.630957e+00 -2.529643e-01 2.089840e+02 3.704032e+06 3.731245e-01 3.734002e-01 6
4.010300e-01 1.005485e+02 4.306576e+01 2.812800e+01 3.574674e+00 2.429799e-03 2.584893e+00 3.354095e-01 5.234252e+02 9.277188e+06 2.355221e-01 2.357908e-01 6
6.010300e-01 1.342350e+02 1.080155e+02 7.055841e+01 1.902466e+00 6.094307e-03 4.096780e+00 1.326868e-01 1.312211e+03 2.325763e+07 1.487484e-01 1.487445e-01 6
8.010300e-01 2.165234e+02 2.702970e+02 1.765811e+02 1.226198e+00 1.525034e-02 6.492958e+00 8.880391e-03 3.282840e+03 5.818505e+07 9.398107e-02 9.401423e-02 6
1.001030e+00 3.147969e+02 6.749977e+02 4.408958e+02 7.139938e-01 3.808382e-02 1.029065e+01 1.745246e-02 8.193331e+03 1.452186e+08 5.950282e-02 5.949875e-02 6
1.201030e+00 5.644877e+02 1.680282e+03 1.097351e+03 5.144094e-01 9.480265e-02 1.630957e+01 -1.118398e-02 2.037535e+04 3.611327e+08 3.770384e-02 3.770968e-02 6
-5.989700e-01 1.193061e+01 4.531468e-01 2.950361e-01 4.043781e+01 2.557983e-05 2.584893e-01 4.817651e+00 5.495061e+00 9.734500e+04 2.350133e+00 2.354788e+00 7
-3.989700e-01 2.172857e+01 1.105552e+00 7.255324e-01 2.994845e+01 6.240769e-05 4.096780e-01 7.154438e-01 1.343760e+01 2.380470e+05 1.482023e+00 1.469821e+00 7
-1.989700e-01 3.063452e+01 2.759882e+00 1.806210e+00 1.696067e+01 1.557935e-04 6.492958e-01 -6.566295e-01 3.352221e+01 5.938460e+05 9.340754e-01 9.340456e-01 7
1.029996e-03 4.931921e+01 6.873969e+00 4.484475e+00 1.099777e+01 3.880310e-04 1.029065e+00 5.225388e-01 8.357121e+01 1.480464e+06 5.903540e-01 5.915375e-01 7
